cluster_id,headline,published_at,urls,sources,tickers,topics
2fca4fa0a0b2d7e69985dd7d178bb098,Porta-voz do governo russo reage às críticas feitas por Trump e diz que a Rússia é um ‘urso’,2025-09-24T23:39:29+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/porta-voz-do-governo-russo-reage-as-criticas-feitas-por-trump-e-diz-que-a-russia-e-um-urso.ghtml,g1.globo.com,,
07a3e2f75c2267ea9de46315c60f9e73,"Mutirão 'Viva Unido' leva serviços gratuitos e atividades culturais nesta sexta ao Jabaquara, na Zona Sul de SP",2025-09-24T23:37:03+00:00,https://g1.globo.com/sp/sao-paulo/noticia/2025/09/24/mutirao-viva-unido-leva-servicos-gratuitos-e-atividades-culturais-nesta-sexta-ao-jabaquara-na-zona-sul-de-sp.ghtml,g1.globo.com,,
18321d520ad6239b8e1e549cc10263bd,"Terremoto de magnitude 6,2 atinge a Venezuela",2025-09-24T23:36:22+00:00,https://g1.globo.com/mundo/noticia/2025/09/24/terremoto-atinge-venezuela.ghtml,g1.globo.com,,
3a8ed6077bebe6a59e19b285cc6fc46d,"Em encontro com Zelensky, Lula lamenta sofrimento humano e volta a afirmar que não haverá saída militar para conflito entre Rússia e Ucrânia",2025-09-24T23:32:18+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/em-encontro-com-zelensky-lula-lamenta-sofrimento-humano-e-volta-a-afirmar-que-nao-havera-saida-militar-para-o-conflito-entre-russia-e-ucrania.ghtml,g1.globo.com,,
58289f26f4d9b048c4e3a043c1093ee9,Papa Leão XIV recebeu com tristeza notícia da morte do arcebispo emérito de Campinas,2025-09-24T23:30:18+00:00,https://g1.globo.com/sp/campinas-regiao/noticia/2025/09/24/papa-leao-xiv-recebeu-com-tristeza-noticia-da-morte-do-arcebispo-emerito-de-campinas.ghtml,g1.globo.com,,
482476d6e782f1908fd5796fe18a60ce,"Ibama aprova simulado de emergência da Petrobras, e exploração na Foz do Amazonas avança",2025-09-24T23:30:09+00:00,https://g1.globo.com/meio-ambiente/noticia/2025/09/24/ibama-aprova-simulado-de-emergencia-da-petrobras-e-exploracao-na-foz-do-amazonas-avanca.ghtml,g1.globo.com,,petrobras
7543d40a7245053c3b4d9bea4b320c2b,Lei que autorizava enfermeiros a fazerem suturas simples é derrubada no Acre,2025-09-24T23:26:55+00:00,https://g1.globo.com/ac/acre/noticia/2025/09/24/lei-que-autorizava-enfermeiros-a-fazerem-suturas-simples-e-derrubada-no-acre.ghtml,g1.globo.com,,
700067bff686d4793f986add017471d4,"Os 80 anos de Gal Costa motivam três edições digitais e (outro) LP do álbum ‘Estratosférica’, com efeitos na capa",2025-09-24T23:22:30+00:00,https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/09/24/os-80-anos-de-gal-costa-motivam-tres-edicoes-digitais-e-outro-lp-do-album-estratosferica-com-efeitos-na-capa.ghtml,g1.globo.com,,
07f498f6082531c6b69e19f77dcf3d6e,"Arquiteto chinês Kongjian Yu, famoso pelo conceito de cidades-esponja, e mais 3 pessoas morrem em queda de avião no MS",2025-09-24T23:20:40+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/arquiteto-chines-kongjian-yu-famoso-pelo-conceito-de-cidades-esponja-e-mais-3-pessoas-morrem-em-queda-de-aviao-no-ms.ghtml,g1.globo.com,,
941cbe346fa3decbfe830a35e15f9f27,"Ibama aprova simulação de emergência feita pela Petrobras na Bacia da Foz do Amazonas, no AP",2025-09-24T23:18:57+00:00,https://g1.globo.com/ap/amapa/noticia/2025/09/24/ibama-aprova-simulacao-de-emergencia-feita-pela-petrobras-na-bacia-da-foz-do-amazonas-no-ap.ghtml,g1.globo.com,,petrobras
46ed858d39955baa9bd860ddc3eeac8f,Inscrições abertas para cursos gratuitos de desenvolvimento profissional em Campo Grande,2025-09-24T23:18:24+00:00,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/09/24/inscricoes-abertas-para-cursos-gratuitos-de-desenvolvimento-profissional-em-campo-grande.ghtml,g1.globo.com,,
d22c0e9198096bf43c3d44e85605ecaf,Guarda Municipal morre após ser atingido por caçamba de caminhão em Mogi Guaçu,2025-09-24T23:16:37+00:00,https://g1.globo.com/sp/campinas-regiao/noticia/2025/09/24/guarda-municipal-morre-apos-ser-atingido-por-cacamba-de-caminhao-em-mogi-guacu.ghtml,g1.globo.com,,
39020e78744e75065a43f335d7400d14,Cadeirante não consegue embarcar em plataforma elevatória de ônibus em Mogi das Cruzes,2025-09-24T23:12:58+00:00,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2025/09/24/cadeirante-nao-consegue-embarcar-em-plataforma-elevatoria-de-onibus-em-mogi-das-cruzes.ghtml,g1.globo.com,,
0cb761b43b488fb2531a738d25ae8366,Mulher é condenada a mais de 12 anos de prisão por morte da família Monare na BR-050; cabe recurso da decisão,2025-09-24T23:09:28+00:00,https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/09/24/mulher-e-condenada-a-mais-de-12-anos-de-prisao-por-morte-da-familia-monare-na-br-050-cabe-recurso-da-decisao.ghtml,g1.globo.com,,
f13b503913d3ad4258cbe6a7826a4c01,"Fraude no INSS: quase 93% dos beneficiários do Piauí já foram ressarcidos após Governo Federal devolver R$ 20,1 mi",2025-09-24T23:07:56+00:00,https://g1.globo.com/pi/piaui/noticia/2025/09/24/fraude-no-inss-quase-93percent-dos-beneficiarios-do-piaui-ja-foram-ressarcidos-apos-governo-federal-devolver-r-201-mi.ghtml,g1.globo.com,,fed
5d315bb79369d5111132f9e5156c63a1,PEC da blindagem é barrada no Senado: como proposta foi derrotada,2025-09-24T23:13:47+00:00,https://www.bbc.com/portuguese/articles/cqjewjqd5rqo?at_medium=RSS&at_campaign=rss,bbc.com,,
