cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
7bacf6dabeb8f219756c6ff687564c20,0.2503,0.88,0.6611,0.3163,0.9562,0.0,0.0,0.85,37.53,DROP
9b085431a0ceb5d07f51de38222bcbff,0.754,0.6,0.069,0.1991,0.6873,0.65,0.0,0.85,37.46,DROP
42688de2a4b9214edde4d0be18c80873,0.4489,0.6,0.2665,0.4573,0.6199,0.65,0.0,0.85,37.25,DROP
3a9d089a0053a76de8beb0ff77d96b3c,0.6258,0.6,0.0002,0.3286,0.892,0.65,0.0,0.85,36.95,DROP
1c087e4fe04d57f4f23d09666a00d4b7,0.5597,0.6,0.3548,0.193,0.8876,0.75,0.0,0.85,36.91,DROP
5320e1c4c5c9745f2a0fae4976e481ac,0.9861,0.6,0.3138,0.1682,0.6472,0.0,0.0,0.85,36.68,DROP
7c4d8c8795b828941dfc9aba49bd50e7,0.4053,0.9,0.6326,0.2331,0.6464,0.0,0.0,0.85,36.59,DROP
04605c2bb89173a1f9325e45419eeb74,0.629,0.6,0.5339,0.4089,0.6623,0.0,0.0,0.85,36.53,DROP
c058e8624243a7e4389b8efeaf1dc717,0.6821,0.6,0.6974,0.2103,0.9542,0.75,0.0,0.85,36.41,DROP
57a72530a68c8363392911e12385bde7,0.4318,0.9,0.4322,0.4071,0.7962,0.0,0.0,0.85,36.39,DROP
153ec577043af2abbb9d790e6dfb64b1,0.4501,0.6,0.6744,0.1599,0.946,0.0,0.0,0.85,36.17,DROP
c5121ba7b85d7b6bea3d1defdad0e006,0.7668,0.6,0.5774,0.3791,0.8667,0.0,0.0,0.85,36.16,DROP
a29e4035e883cb898a739d9d64fe20c3,0.9861,0.6,0.1344,0.4249,0.6122,0.0,0.0,0.85,35.51,DROP
be018572d7cb0387e39b9eba085fb7b3,0.2306,0.88,0.507,0.4139,0.9565,0.0,0.0,0.85,35.41,DROP
cfdf7270943cd3b839853d9904a2a87a,0.5992,0.6,0.3363,0.1869,0.6255,0.75,0.0,0.85,35.22,DROP
dcc34e77b15c8bc4c8978c0721017edf,0.7239,0.6,0.4445,0.2495,0.6458,0.0,0.0,0.85,35.12,DROP
dbdc4b80f2559c9ce0697587fe8a71af,0.4275,0.9,0.4004,0.1847,0.9401,0.0,0.0,0.85,35.11,DROP
f3cf4478c67d00d94556268e0c83dcd8,0.9861,0.6,0.0034,0.4636,0.774,0.0,0.0,0.85,34.99,DROP
f404fce96d066ee978b90b8a8fc86867,0.3424,0.88,0.3836,0.4625,0.8825,0.0,0.0,0.85,34.99,DROP
38def6d4f8ae0c4bd547f628926f79ca,0.3567,0.6,0.6467,0.3255,0.8586,0.0,0.0,0.85,34.77,DROP
16509185820bde7000cc26aeb6d9ca00,0.6217,0.6,0.0546,0.2574,0.9642,0.75,0.0,0.85,34.4,DROP
