cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,total,decision
545ee728c558fcb479c6f0b5487bf613,0.783,0.6,0.0,0.0,1.0,1.0,0.875,78.58,POST
649b641a9aab3c68a63dcf456b0a484f,0.7091,0.88,0.0,0.0,0.7977,1.0,0.8667,78.58,POST
78648c4d1f254f020677423b64be3c90,0.8584,0.9,0.0,0.0,0.8973,0.75,0.8947,78.54,POST
1d19ac5cfa10a404966e2fcf5657356a,0.8091,0.88,0.0,0.0,1.0,0.75,0.8667,78.52,POST
b0cd636e68adac94f50545979f1083c6,0.7972,0.88,0.0,0.0,1.0,0.75,0.8824,78.52,POST
e30956a172400ef894501df0fe572fb9,0.8473,0.9,0.0,0.0,1.0,0.65,0.9375,78.51,POST
4a59cf3f462d020aac5a146fb341de93,0.766,0.88,0.0,0.0,1.0,0.75,0.9231,78.51,POST
a7d03e35265b72bd076f3e59c0d2c683,0.7294,0.6,0.0,0.0,1.0,1.0,0.9412,78.51,POST
d6d1047fc78d31794cfa25cb02ec6170,0.54,0.88,0.0,0.0,1.0,1.0,0.8571,78.5,POST
318239c48d099624614bf3bc901cc1b4,0.7594,0.6,0.0,0.0,1.0,1.0,0.9,78.49,POST
2f668e23fc0e5e47cf68c2a571b20950,0.7862,0.88,0.0,0.0,1.0,0.75,0.8947,78.49,POST
e9067b831226529787352db141665407,0.814,0.88,0.0,0.0,1.0,0.75,0.8571,78.48,POST
489688cea7ce5a7e67c4b3d4f3ea09eb,0.7699,0.6,0.0,0.0,1.0,1.0,0.8824,78.43,POST
f39ec1909d8022e6b3241b005ab2e0a9,0.8045,0.88,0.0,0.0,1.0,0.75,0.8667,78.43,POST
3dc45c5f362fbf9d0a57e19d1600dc33,0.8112,0.88,0.0,0.0,1.0,0.75,0.8571,78.42,POST
5381ee5c20d2ad0bb79fbf5dc6f82c47,0.8292,0.6,0.0,0.0,0.9228,1.0,0.8889,78.4,POST
be18ab238335619642cbde23e226bdac,0.8257,0.6,0.0,0.0,0.9484,1.0,0.8636,78.39,POST
8c3869d596e58d48f0ef9e1b34910fb0,0.8581,0.6,0.0,0.0,1.0,1.0,0.7619,78.39,POST
6a1e60ffe587f43c0917591bb45e89f9,0.8513,0.6,0.0,0.0,0.9742,1.0,0.8,78.39,POST
16df629bb6a200eb92e1d9f5345ca82e,0.8043,0.6,0.0,0.0,1.0,1.0,0.8333,78.39,POST
250ab64b80637b6d5337bd27beb5ca49,0.8549,0.6,0.0,0.0,1.0,1.0,0.7647,78.37,POST
86644d0698da5c6cbe1ffff09bcc0909,0.7657,0.6,0.0,0.0,1.0,1.0,0.8824,78.35,POST
dd484dd652ed76da702b6f0f7c2248af,0.7843,0.6,0.0,0.0,1.0,1.0,0.8571,78.34,POST
f70a8166049051792e63c93077973c82,0.642,0.9,0.0,0.0,1.0,0.9,0.8333,78.34,POST
91b5bd9c964f97312697721ebe67dc8a,0.774,0.88,0.0,0.0,1.0,0.75,0.9,78.32,POST
2cadb9885598eddd58b46f0086e18e34,0.7637,0.6,0.0,0.0,1.0,1.0,0.8824,78.31,POST
593c80d585a07c5509ea2befe601aeb9,0.805,0.88,0.0,0.0,1.0,0.75,0.8571,78.3,POST
b5bcad3932ddc2aef777e7c12dbe9007,0.8462,0.86,0.0,0.0,1.0,0.75,0.8261,78.3,POST
265ac08a4582c5537f80176452053f3c,0.8087,0.9,0.0,0.0,1.0,0.75,0.8261,78.27,POST
1cb22a0de1f6377ac92bf1f8455add8c,0.5277,0.9,0.0,0.0,1.0,1.0,0.8333,78.25,POST
03fd63fc4b61fd7c190f6eaf358c48c9,0.7556,0.6,0.0,0.0,1.0,1.0,0.8889,78.24,POST
eddb42445c23ef9922ba92b65938195b,0.8197,0.88,0.0,0.0,1.0,0.75,0.8333,78.23,POST
a5779d71c786e194a6d444b14499788e,0.8197,0.88,0.0,0.0,1.0,0.75,0.8333,78.23,POST
5988a523bce2eaaa2ee09a091a36947c,0.769,0.9,0.0,0.0,1.0,0.75,0.875,78.2,POST
1db3f7079412e5470ca1fedf7893397a,0.788,0.6,0.0,0.0,1.0,1.0,0.8421,78.19,POST
4a3e58be9fe1f8921c3cdfc7daf0a32e,0.8399,0.6,0.0,0.0,1.0,1.0,0.7727,78.19,POST
2d52e861e450599ce7f9ed7b3226510a,0.7605,0.88,0.0,0.0,1.0,0.75,0.9091,78.19,POST
d4e751fbc827383e512ad6d91119faf0,0.8357,0.6,0.0,0.0,1.0,1.0,0.7778,78.18,POST
ea1cceba6cb0fdc2ccde87c555ec54de,0.7804,0.6,0.0,0.0,1.0,1.0,0.85,78.16,POST
01cd32a6b61cd00ac4a2b44d1e6560b1,0.826,0.6,0.0,0.0,0.9742,1.0,0.8182,78.15,POST
9e8bf662d8e4356a35eb42f60bc12e99,0.779,0.6,0.0,0.0,1.0,1.0,0.85,78.13,POST
345fbe0f9d253ff8fef7bfc7822f01b2,0.7493,0.96,0.0,0.0,1.0,0.75,0.8235,78.12,POST
dc81e60ccb25cf996ffca092c8c05154,0.724,0.96,0.0,0.0,1.0,0.75,0.8571,78.12,POST
ddc7fddb9d204f57543d6311a48ff14f,0.7902,0.88,0.0,0.0,1.0,0.75,0.8636,78.1,POST
7cccbc33f567af08080eda9d6e2068c9,0.8277,0.9,0.0,0.0,1.0,0.75,0.7895,78.1,POST
0c11257783ba52248f963bcab80e5a29,0.5813,0.9,0.0,0.0,1.0,1.0,0.75,78.08,POST
3979f2b16c107c47857c7e88644b6b63,0.8502,0.6,0.0,0.0,1.0,1.0,0.75,78.05,POST
ea8a61d0af8e81034d9b0b9c1ce64fb9,0.7291,0.95,0.0,0.0,1.0,0.75,0.8571,78.04,POST
9fc0200f8d5e6ffaae6d786b2a47a015,0.86,0.6,0.0,0.0,0.9228,1.0,0.8235,78.04,POST
fb2e0b057bacdb52bc155b8a4c8632f1,0.7711,0.88,0.0,0.0,1.0,0.75,0.8846,78.03,POST
eb82293941b9a7bf89d71e9ee307c198,0.7794,0.6,0.0,0.0,1.0,1.0,0.8421,78.02,POST
402234ea8344265208b4371e5b033261,0.7699,0.86,0.0,0.0,1.0,0.75,0.9091,78.02,POST
0b6ae7504b2d0c3ce6b2727863639090,0.7757,0.6,0.0,0.0,0.9484,1.0,0.9048,78.01,POST
4ca13a80ba3cf157321f6ffc89325539,0.7946,0.86,0.0,0.0,1.0,0.75,0.875,78.0,POST
43f468d8c31977fc8fbc142e225db85e,0.7892,0.88,0.0,0.0,1.0,0.75,0.8571,77.98,POST
